2024-11-25 22:03:45.973 [info] Extension host with pid 2267 started
2024-11-25 22:03:46.002 [info] Lock '/home/ubuntu/.local/share/code-server/User/workspaceStorage/386bef2e/vscode.lock': Lock acquired.
2024-11-25 22:03:46.909 [info] ExtensionService#_doActivateExtension vscode.git-base, startup: true, activationEvent: '*'
2024-11-25 22:03:46.988 [info] ExtensionService#_doActivateExtension vscode.npm, startup: true, activationEvent: 'workspaceContains:package.json'
2024-11-25 22:03:47.414 [info] ExtensionService#_doActivateExtension vscode.github, startup: true, activationEvent: '*'
2024-11-25 22:03:47.520 [info] ExtensionService#_doActivateExtension vscode.git, startup: false, activationEvent: '*'
2024-11-25 22:03:47.900 [info] Eager extensions activated
2024-11-25 22:03:47.902 [info] ExtensionService#_doActivateExtension vscode.debug-auto-launch, startup: false, activationEvent: 'onStartupFinished'
2024-11-25 22:03:47.903 [info] ExtensionService#_doActivateExtension vscode.merge-conflict, startup: false, activationEvent: 'onStartupFinished'
2024-11-25 22:03:48.749 [info] ExtensionService#_doActivateExtension vscode.emmet, startup: false, activationEvent: 'onLanguage'
2024-11-25 22:03:48.887 [info] ExtensionService#_doActivateExtension vscode.github-authentication, startup: false, activationEvent: 'onAuthenticationRequest:github'
2024-11-25 22:03:58.894 [info] ExtensionService#_doActivateExtension vscode.configuration-editing, startup: false, activationEvent: 'onLanguage:json'
2024-11-25 22:03:58.895 [info] ExtensionService#_doActivateExtension vscode.extension-editing, startup: false, activationEvent: 'onLanguage:json'
2024-11-25 22:03:58.895 [info] ExtensionService#_doActivateExtension vscode.json-language-features, startup: false, activationEvent: 'onLanguage:json'
2024-11-25 22:05:53.068 [info] ExtensionService#_doActivateExtension vscode.tunnel-forwarding, startup: false, activationEvent: 'onTunnel'
